list_position,date,category,title,video_id,url,duration_min,view_count
163,2025-07-13,Sandhyavandana (Other),NKHK-Sandhyavandanakannada Online-day1-13th July2025,H3WvfkcdeYA,https://www.youtube.com/watch?v=H3WvfkcdeYA,98.2,1400
312,2021-06-27,Sandhyavandana (Other),sandhyavandana Part2 NKHK 27June 2021,883vDhuxzhM,https://www.youtube.com/watch?v=883vDhuxzhM,71.9,111
