list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
468,2021-02-05,Sri Gopaladasara Charitre,Sri Gopaladasara Charitre Day3 -Mangala,yYfdqm4j0F0,https://www.youtube.com/watch?v=yYfdqm4j0F0,91.5,83,streams,343
469,2021-02-03,Sri Gopaladasara Charitre,Sri Gopaladasara Charitre Day 2 Feb 3rd.,x2rxjq4-7d0,https://www.youtube.com/watch?v=x2rxjq4-7d0,70.3,164,streams,344
470,2021-02-02,Sri Gopaladasara Charitre,Sri Gopaladasara Jeevana Charitre 2nd Feb,pQZm7EtnAT4,https://www.youtube.com/watch?v=pQZm7EtnAT4,80.3,169,streams,345
