list_position,date,category,title,video_id,url,duration_min,view_count
20,2026-08-06,SriKrishna Stotra/Stuti,SriKrishnaashtottarashatanama stotra day3 6th Aug 2026,_YJHrZjWQhQ,https://www.youtube.com/watch?v=_YJHrZjWQhQ,30.0,55
22,2026-08-05,SriKrishna Stotra/Stuti,SriKrishnaAshtottarashatanamastotra Day2 5th Aug 2026,Pb6oDcMeLVE,https://www.youtube.com/watch?v=Pb6oDcMeLVE,33.8,43
23,2026-08-04,SriKrishna Stotra/Stuti,SriKrishna Ashtottarashatanama stotra 4th Aug 2026,k9hCOznEcQg,https://www.youtube.com/watch?v=k9hCOznEcQg,37.9,33
192,2023-09-03,SriKrishna Stotra/Stuti,SriKrishnashtaka Stotra by Sri VadirajaTeertha - 3rd Sept,CUHw9O-XSDs,https://www.youtube.com/watch?v=CUHw9O-XSDs,86.5,246
261,2022-08-17,SriKrishna Stotra/Stuti,NKHK kannada KrishnaStotra day2 17th Aug,mbBCGBFeFlU,https://www.youtube.com/watch?v=mbBCGBFeFlU,55.8,42
262,2022-08-16,SriKrishna Stotra/Stuti,NKHK kannada SriKrishna Stotra 16th Aug,imFR7KiAwiY,https://www.youtube.com/watch?v=imFR7KiAwiY,53.5,108
