list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
300,2023-07-02,28 Moorthi Stuti (NKHK),28Moorthi Marathi Mangala 2nd July,rrageTyTAac,https://www.youtube.com/watch?v=rrageTyTAac,82.2,233,streams,204
302,2023-06-27,28 Moorthi Stuti (NKHK),28Moorti 27th June - Mangala,qH5R56T9ImU,https://www.youtube.com/watch?v=qH5R56T9ImU,58.3,144,streams,206
303,2023-06-25,28 Moorthi Stuti (NKHK),28Moorthi Marathi Day3 - 25th June 2023,oD-WPBeDu64,https://www.youtube.com/watch?v=oD-WPBeDu64,64.7,146,streams,207
308,2023-06-21,28 Moorthi Stuti (NKHK),28Moorthi kannada Day3 - 21 June 2023,M6jdmOI38w0,https://www.youtube.com/watch?v=M6jdmOI38w0,61.3,83,streams,210
309,2023-06-20,28 Moorthi Stuti (NKHK),28Moorthi Kannada day2 -20th June 2023,qbbvkQNzfa0,https://www.youtube.com/watch?v=qbbvkQNzfa0,62.9,112,streams,211
310,2023-06-18,28 Moorthi Stuti (NKHK),28Moorthi Marathi Day2 18th June,ctpq_ahOQHU,https://www.youtube.com/watch?v=ctpq_ahOQHU,76.0,140,streams,212
314,2023-06-11,28 Moorthi Stuti (NKHK),NKHK Marathi 28 Moorthi Session 1- 11Th June,jMsvD9BpTlE,https://www.youtube.com/watch?v=jMsvD9BpTlE,84.8,465,streams,215
