list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
179,2025-10-12,Dhyana & Anusandhana (NKHK),Pranayama and Dhyana Marathi Satsanga 12th Oct 2025,S_AlMTCHjlI,https://www.youtube.com/watch?v=S_AlMTCHjlI,69.6,230,streams,150
415,2021-12-09,Dhyana & Anusandhana (NKHK),NKHK kannada Anusandhana+Dhyana,M_UY2qkx6Gk,https://www.youtube.com/watch?v=M_UY2qkx6Gk,67.4,116,streams,290
416,2021-12-19,Dhyana & Anusandhana (NKHK),NKHK Anusandhana+Dhyana 19th Dec,HGfdH6qIw0k,https://www.youtube.com/watch?v=HGfdH6qIw0k,87.2,151,streams,291
438,2021-07-03,Dhyana & Anusandhana (NKHK),Marathi Sandhya Anusandhana 3rd July 2021,JhIvP3cMvoI,https://www.youtube.com/watch?v=JhIvP3cMvoI,42.4,113,streams,313
446,2021-05-16,Dhyana & Anusandhana (NKHK),NKHK Dhyana Day1 Marathi 16th May 2021,AMaTn9XgvPw,https://www.youtube.com/watch?v=AMaTn9XgvPw,97.8,720,streams,321
447,2021-05-14,Dhyana & Anusandhana (NKHK),NKHK Dhyana Day2 14th May 2021,vn4HRCP7Ptk,https://www.youtube.com/watch?v=vn4HRCP7Ptk,40.5,109,streams,322
448,2021-05-13,Dhyana & Anusandhana (NKHK),NKHK Dhyana day1 13th May 2021,yheudmgodT4,https://www.youtube.com/watch?v=yheudmgodT4,65.7,167,streams,323
