list_position,date,category,title,video_id,url,duration_min,view_count
300,2021-08-15,Paranjyothi Satsanga,"NKHK Marathi Satsanga ""Paranjyothi"" Part 2- 15th Aug 2021",StQZDl5EukM,https://www.youtube.com/watch?v=StQZDl5EukM,90.5,94
302,2021-08-08,Paranjyothi Satsanga,NKHK Marathi Paranjyothi 8th Aug 2021,kAc11tBOnoA,https://www.youtube.com/watch?v=kAc11tBOnoA,82.3,197
