list_position,date,category,title,video_id,url,duration_min,view_count,source,source_position
450,2021-05-10,Naham Karta Hari Karta (Meeting Room),Naham Karta Hari Karta's Personal Meeting Room,qOYke65V12Q,https://www.youtube.com/watch?v=qOYke65V12Q,77.6,442,streams,325
465,2021-02-14,Naham Karta Hari Karta (Meeting Room),Naham Karta Hari Karta's Personal Meeting Room,m6lbFZHTHCU,https://www.youtube.com/watch?v=m6lbFZHTHCU,102.3,269,streams,340
466,2021-02-07,Naham Karta Hari Karta (Meeting Room),Naham Karta Hari Karta's Personal Meeting Room,qs-YnFL_vFA,https://www.youtube.com/watch?v=qs-YnFL_vFA,131.1,295,streams,341
467,2021-02-07,Naham Karta Hari Karta (Meeting Room),Naham Karta Hari Karta's Personal Meeting Room,3cSDLKHnJYw,https://www.youtube.com/watch?v=3cSDLKHnJYw,103.5,196,streams,342
